Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
16921642,2014-09-01 19:23:00.000000107,7.5,2014-09-01 19:23:00 UTC,-73.9884,40.748090000000005,-73.98224,40.76248,1
39753665,2012-02-05 03:38:18.0000003,9.7,2012-02-05 03:38:18 UTC,-73.96252,40.71503,-73.97298,40.685942,1
53749900,2014-04-17 23:30:24.0000001,22.0,2014-04-17 23:30:24 UTC,-74.009058,40.716105,-73.955063,40.735334,1
35372393,2011-10-01 23:11:00.00000081,6.1,2011-10-01 23:11:00 UTC,-73.982525,40.748608,-73.984482,40.76103,1
22681232,2011-07-02 15:04:00.000000154,12.9,2011-07-02 15:04:00 UTC,-73.98250300000001,40.767808,-73.925662,40.764348,1
5934054,2011-06-25 20:03:49.0000004,8.1,2011-06-25 20:03:49 UTC,-73.976803,40.764591,-73.967313,40.787987,1
55369488,2013-03-28 22:36:00.000000159,13.5,2013-03-28 22:36:00 UTC,-74.00881700000001,40.71388,-73.990765,40.74623,2
44964473,2014-01-07 13:27:35.0000001,5.5,2014-01-07 13:27:35 UTC,-73.993383,40.735858,-73.983273,40.734878,1
47775186,2012-07-25 15:32:00.00000031,4.5,2012-07-25 15:32:00 UTC,-73.971272,40.763702,-73.963972,40.77357,1
18483802,2011-10-09 17:15:00.000000151,15.7,2011-10-09 17:15:00 UTC,-74.007693,40.747377,-73.984277,40.71517,4
12216430,2011-04-11 15:40:26.0000001,6.1,2011-04-11 15:40:26 UTC,-74.001058,40.741654,-73.981794,40.738197,1
11790700,2013-03-12 16:16:00.0000008,10.5,2013-03-12 16:16:00 UTC,-73.974858,40.755272,-73.984763,40.762598,3
13979904,2009-01-20 08:35:54.0000004,7.3,2009-01-20 08:35:54 UTC,-73.972631,40.743573,-73.97264200000001,40.759172,1
570830,2010-05-13 09:48:44.0000001,9.7,2010-05-13 09:48:44 UTC,-73.975942,40.744622,-74.005149,40.740734,2
38471905,2011-11-20 15:38:25.0000002,27.7,2011-11-20 15:38:25 UTC,-73.9636,40.7653,-73.8653,40.7706,2
21129482,2014-08-29 01:00:00.00000072,6.0,2014-08-29 01:00:00 UTC,-74.002125,40.72803,-73.9988,40.727995,1
8126209,2015-05-13 14:12:38.0000001,20.0,2015-05-13 14:12:38 UTC,-73.9688491821289,40.75064849853516,-73.97549438476562,40.79536437988281,2
37218849,2014-10-13 20:26:00.000000100,5.5,2014-10-13 20:26:00 UTC,-73.98977,40.734357,-73.982872,40.744755,2
44240395,2012-06-25 10:08:29.0000006,6.9,2012-06-25 10:08:29 UTC,-73.992374,40.758706,-73.992456,40.741942,1
45917955,2011-02-27 00:01:00.000000199,6.5,2011-02-27 00:01:00 UTC,-73.955242,40.773448,-73.970537,40.788363,5
10904721,2009-03-27 15:20:00.00000090,6.5,2009-03-27 15:20:00 UTC,-73.991822,40.738462,-73.98168299999999,40.746813,5
